train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-06-14,2024-06-15,2024-07-14,14,11,45.45,0.04,True
2024-03-15,2024-07-14,2024-07-15,2024-08-14,25,6,0.0,-2.7,False
2024-04-15,2024-08-14,2024-08-15,2024-09-14,22,11,45.45,-0.04,False
2024-06-15,2024-10-14,2024-10-15,2024-11-14,31,7,71.43,1.31,True
2024-07-15,2024-11-14,2024-11-15,2024-12-14,27,8,100.0,2.79,True
2024-08-15,2024-12-14,2024-12-15,2025-01-14,29,13,23.08,-1.02,False
2024-09-15,2025-01-14,2025-01-15,2025-02-14,31,7,85.71,1.56,True
2024-11-15,2025-03-14,2025-03-15,2025-04-14,28,9,22.22,-6.08,False
2024-12-15,2025-04-14,2025-04-15,2025-05-14,29,7,85.71,0.52,True
2025-01-15,2025-05-14,2025-05-15,2025-06-14,23,7,100.0,1.59,True
2025-06-15,2025-10-14,2025-10-15,2025-11-14,8,7,28.57,-1.14,False
2025-07-15,2025-11-14,2025-11-15,2025-12-14,15,5,20.0,-0.23,False
2025-08-15,2025-12-14,2025-12-15,2026-01-14,19,5,60.0,0.31,True
2025-11-15,2026-03-14,2026-03-15,2026-04-14,14,7,28.57,-0.67,False
2025-12-15,2026-04-14,2026-04-15,2026-05-14,16,7,14.29,-1.49,False
2026-01-15,2026-05-14,2026-05-15,2026-06-14,18,7,42.86,-0.16,False
