train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,17,3,0.0,-4.77,False
2024-01-20,2024-03-19,2024-03-20,2024-04-19,11,7,14.29,-2.93,False
2024-02-20,2024-04-19,2024-04-20,2024-05-19,7,3,100.0,4.21,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,10,9,100.0,5.56,True
2024-04-20,2024-06-19,2024-06-20,2024-07-19,12,4,25.0,-0.31,False
2024-06-20,2024-08-19,2024-08-20,2024-09-19,4,3,0.0,-2.38,False
2024-07-20,2024-09-19,2024-09-20,2024-10-19,3,4,0.0,-0.89,False
2024-09-20,2024-11-19,2024-11-20,2024-12-19,4,3,33.33,-1.6,False
2024-10-20,2024-12-19,2024-12-20,2025-01-19,4,3,0.0,-2.2,False
2024-11-20,2025-01-19,2025-01-20,2025-02-19,6,4,25.0,-3.5,False
2024-12-20,2025-02-19,2025-02-20,2025-03-19,7,6,16.67,-4.32,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,6,6,100.0,7.4,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,6,5,0.0,-0.99,False
2025-04-20,2025-06-19,2025-06-20,2025-07-19,7,7,71.43,2.21,True
2025-05-20,2025-07-19,2025-07-20,2025-08-19,12,11,36.36,-0.09,False
2025-06-20,2025-08-19,2025-08-20,2025-09-19,18,7,14.29,-3.4,False
2025-08-20,2025-10-19,2025-10-20,2025-11-19,7,3,33.33,-1.66,False
2025-10-20,2025-12-19,2025-12-20,2026-01-19,3,6,33.33,-0.52,False
2025-11-20,2026-01-19,2026-01-20,2026-02-19,8,4,0.0,-2.43,False
2025-12-20,2026-02-19,2026-02-20,2026-03-19,5,4,0.0,-7.14,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,5,7,57.14,1.65,True
2026-02-20,2026-04-19,2026-04-20,2026-05-19,8,7,71.43,1.19,True
