train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-11,2024-06-10,2024-06-11,2024-07-10,9,8,75.0,0.55,True
2024-03-11,2024-07-10,2024-07-11,2024-08-10,17,8,37.5,-0.63,False
2024-04-11,2024-08-10,2024-08-11,2024-09-10,20,5,0.0,-2.07,False
2024-05-11,2024-09-10,2024-09-11,2024-10-10,18,13,7.69,-1.79,False
2024-06-11,2024-10-10,2024-10-11,2024-11-10,20,6,100.0,3.51,True
2024-07-11,2024-11-10,2024-11-11,2024-12-10,12,9,100.0,1.95,True
2024-08-11,2024-12-10,2024-12-11,2025-01-10,13,5,0.0,-2.51,False
2024-09-11,2025-01-10,2025-01-11,2025-02-10,16,5,100.0,0.7,True
2024-11-11,2025-03-10,2025-03-11,2025-04-10,23,6,0.0,-5.77,False
2024-12-11,2025-04-10,2025-04-11,2025-05-10,16,5,100.0,9.18,True
2025-05-11,2025-09-10,2025-09-11,2025-10-10,12,6,0.0,-3.78,False
2025-07-11,2025-11-10,2025-11-11,2025-12-10,16,5,0.0,-3.4,False
2025-08-11,2025-12-10,2025-12-11,2026-01-10,17,13,53.85,1.0,True
2025-10-11,2026-02-10,2026-02-11,2026-03-10,22,5,60.0,-1.52,False
2025-11-11,2026-03-10,2026-03-11,2026-04-10,19,9,66.67,5.04,True
2025-12-11,2026-04-10,2026-04-11,2026-05-10,23,5,20.0,-2.69,False
