train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-21,2024-03-20,2024-03-21,2024-04-20,12,4,0.0,-4.95,False
2024-02-21,2024-04-20,2024-04-21,2024-05-20,4,8,50.0,0.22,True
2024-03-21,2024-05-20,2024-05-21,2024-06-20,12,4,100.0,15.14,True
2024-04-21,2024-06-20,2024-06-21,2024-07-20,12,14,7.14,-2.96,False
2024-05-21,2024-07-20,2024-07-21,2024-08-20,3,17,47.06,-0.34,False
2024-06-21,2024-08-20,2024-08-21,2024-09-20,31,12,25.0,-0.56,False
2024-07-21,2024-09-20,2024-09-21,2024-10-20,29,5,20.0,0.0,False
2024-08-21,2024-10-20,2024-10-21,2024-11-20,6,3,33.33,-0.0,False
2024-09-21,2024-11-20,2024-11-21,2024-12-20,8,3,66.67,5.17,True
2024-10-21,2024-12-20,2024-12-21,2025-01-20,6,3,100.0,4.53,True
2024-11-21,2025-01-20,2025-01-21,2025-02-20,3,4,75.0,4.16,True
2024-12-21,2025-02-20,2025-02-21,2025-03-20,7,16,25.0,-1.35,False
2025-01-21,2025-03-20,2025-03-21,2025-04-20,20,15,13.33,-3.34,False
2025-02-21,2025-04-20,2025-04-21,2025-05-20,3,13,46.15,0.5,True
2025-03-21,2025-05-20,2025-05-21,2025-06-20,3,4,50.0,2.22,True
2025-04-21,2025-06-20,2025-06-21,2025-07-20,5,3,100.0,3.28,True
2025-05-21,2025-07-20,2025-07-21,2025-08-20,5,3,100.0,7.32,True
2025-06-21,2025-08-20,2025-08-21,2025-09-20,6,5,20.0,-0.92,False
2025-07-21,2025-09-20,2025-09-21,2025-10-20,8,3,0.0,-10.1,False
2025-08-21,2025-10-20,2025-10-21,2025-11-20,4,5,20.0,0.02,True
2025-09-21,2025-11-20,2025-11-21,2025-12-20,3,4,50.0,0.31,True
2025-10-21,2025-12-20,2025-12-21,2026-01-20,4,10,30.0,0.33,True
2025-11-21,2026-01-20,2026-01-21,2026-02-20,5,16,25.0,-0.37,False
2025-12-21,2026-02-20,2026-02-21,2026-03-20,3,5,0.0,-5.87,False
2026-01-21,2026-03-20,2026-03-21,2026-04-20,7,20,20.0,-1.94,False
2026-02-21,2026-04-20,2026-04-21,2026-05-20,7,6,50.0,2.39,True
