train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,24,8,12.5,-4.89,False
2024-03-29,2024-07-28,2024-07-29,2024-08-28,24,8,0.0,-2.56,False
2024-04-29,2024-08-28,2024-08-29,2024-09-28,25,6,0.0,-0.6,False
2024-05-29,2024-09-28,2024-09-29,2024-10-28,26,5,40.0,-0.09,False
2024-06-29,2024-10-28,2024-10-29,2024-11-28,23,8,12.5,-0.14,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,27,7,85.71,9.95,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,26,7,14.29,-0.32,False
2024-09-29,2025-01-28,2025-01-29,2025-02-27,27,10,20.0,-0.41,False
2024-11-29,2025-03-28,2025-03-29,2025-04-28,26,8,25.0,-0.24,False
2024-12-29,2025-04-28,2025-04-29,2025-05-28,27,8,0.0,-0.87,False
2025-02-28,2025-06-27,2025-06-28,2025-07-27,21,7,42.86,-0.11,False
2025-03-28,2025-07-27,2025-07-28,2025-08-27,26,7,14.29,-0.83,False
2025-04-28,2025-08-27,2025-08-28,2025-09-27,25,8,12.5,-3.3,False
2025-05-28,2025-09-27,2025-09-28,2025-10-27,3,10,10.0,-0.49,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,3,5,60.0,-0.38,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,8,9,11.11,-0.59,False
2025-08-28,2025-12-27,2025-12-28,2026-01-27,9,7,28.57,0.32,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,12,10,60.0,1.6,True
