train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-06-28,2024-06-29,2024-07-28,24,9,77.78,2.5,True
2024-03-29,2024-07-28,2024-07-29,2024-08-28,26,7,85.71,4.75,True
2024-04-29,2024-08-28,2024-08-29,2024-09-28,25,9,88.89,7.17,True
2024-06-29,2024-10-28,2024-10-29,2024-11-28,28,15,46.67,-1.0,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,34,8,62.5,1.5,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,3,6,50.0,-2.38,False
2024-11-29,2025-03-28,2025-03-29,2025-04-28,20,6,33.33,-10.23,False
2024-12-29,2025-04-28,2025-04-29,2025-05-28,18,12,83.33,2.21,True
2025-01-29,2025-05-28,2025-05-29,2025-06-28,24,20,65.0,0.03,True
2025-05-28,2025-09-27,2025-09-28,2025-10-27,28,7,57.14,-2.59,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,14,11,18.18,-1.83,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,22,6,16.67,-4.18,False
2025-08-28,2025-12-27,2025-12-28,2026-01-27,28,7,71.43,2.67,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,3,7,85.71,2.06,True
2025-11-28,2026-03-27,2026-03-28,2026-04-27,5,10,70.0,2.24,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,5,6,100.0,2.22,True
2026-01-28,2026-05-27,2026-05-28,2026-06-27,3,9,66.67,3.01,True
