train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-18,2024-02-17,2024-02-18,2024-03-17,17,3,100.0,4.1,True
2024-01-18,2024-03-17,2024-03-18,2024-04-17,14,4,25.0,-3.98,False
2024-02-18,2024-04-17,2024-04-18,2024-05-17,4,6,66.67,2.88,True
2024-03-18,2024-05-17,2024-05-18,2024-06-17,5,3,33.33,-1.31,False
2024-04-18,2024-06-17,2024-06-18,2024-07-17,9,11,36.36,-1.44,False
2024-05-18,2024-07-17,2024-07-18,2024-08-17,11,4,25.0,-0.98,False
2024-06-18,2024-08-17,2024-08-18,2024-09-17,15,5,40.0,-0.55,False
2024-07-18,2024-09-17,2024-09-18,2024-10-17,9,4,100.0,1.81,True
2024-09-18,2024-11-17,2024-11-18,2024-12-17,5,11,45.45,0.21,True
2024-10-18,2024-12-17,2024-12-18,2025-01-17,12,6,16.67,-1.73,False
2024-11-18,2025-01-17,2025-01-18,2025-02-17,12,6,83.33,1.55,True
2024-12-18,2025-02-17,2025-02-18,2025-03-17,12,5,100.0,0.91,True
2025-01-18,2025-03-17,2025-03-18,2025-04-17,5,6,16.67,-7.94,False
2025-02-18,2025-04-17,2025-04-18,2025-05-17,11,5,100.0,4.94,True
2025-03-18,2025-05-17,2025-05-18,2025-06-17,8,8,87.5,2.92,True
2025-05-18,2025-07-17,2025-07-18,2025-08-17,9,5,100.0,9.55,True
2025-06-18,2025-08-17,2025-08-18,2025-09-17,5,6,83.33,4.0,True
2025-07-18,2025-09-17,2025-09-18,2025-10-17,11,11,36.36,0.07,True
2025-08-18,2025-10-17,2025-10-18,2025-11-17,17,10,40.0,-0.61,False
2025-09-18,2025-11-17,2025-11-18,2025-12-17,21,11,27.27,-1.03,False
2025-10-18,2025-12-17,2025-12-18,2026-01-17,21,5,60.0,1.0,True
2025-11-18,2026-01-17,2026-01-18,2026-02-17,16,8,75.0,3.03,True
2025-12-18,2026-02-17,2026-02-18,2026-03-17,13,9,22.22,-2.78,False
2026-01-18,2026-03-17,2026-03-18,2026-04-17,10,7,71.43,1.96,True
