train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-06-28,2024-06-29,2024-07-28,4,5,0.0,-5.79,False
2024-04-29,2024-08-28,2024-08-29,2024-09-28,8,5,60.0,0.74,True
2024-07-29,2024-11-28,2024-11-29,2024-12-28,10,6,16.67,-2.7,False
2024-08-29,2024-12-28,2024-12-29,2025-01-28,12,15,33.33,-0.24,False
2024-09-29,2025-01-28,2025-01-29,2025-02-27,8,8,75.0,0.66,True
2024-10-29,2025-02-27,2025-02-28,2025-03-27,8,6,100.0,1.42,True
2025-04-28,2025-08-27,2025-08-28,2025-09-27,9,15,33.33,-0.61,False
2025-05-28,2025-09-27,2025-09-28,2025-10-27,9,5,20.0,-4.8,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,10,6,66.67,0.61,True
2025-08-28,2025-12-27,2025-12-28,2026-01-27,10,8,0.0,-1.71,False
2025-09-28,2026-01-27,2026-01-28,2026-02-27,18,5,60.0,0.45,True
2025-11-28,2026-03-27,2026-03-28,2026-04-27,20,8,25.0,-0.55,False
