train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-05-21,2024-05-22,2024-06-21,24,16,56.25,0.57,True
2024-03-22,2024-07-21,2024-07-22,2024-08-21,27,7,0.0,-2.45,False
2024-05-22,2024-09-21,2024-09-22,2024-10-21,27,13,38.46,-0.42,False
2024-07-22,2024-11-21,2024-11-22,2024-12-21,21,9,77.78,1.66,True
2024-08-22,2024-12-21,2024-12-22,2025-01-21,23,5,60.0,0.05,True
2024-09-22,2025-01-21,2025-01-22,2025-02-21,27,12,50.0,0.61,True
2024-12-22,2025-04-21,2025-04-22,2025-05-21,21,7,57.14,0.65,True
2025-01-22,2025-05-21,2025-05-22,2025-06-21,23,5,100.0,1.83,True
2025-02-22,2025-06-21,2025-06-22,2025-07-21,6,10,80.0,4.23,True
2025-03-22,2025-07-21,2025-07-22,2025-08-21,6,21,71.43,4.32,True
2025-04-22,2025-08-21,2025-08-22,2025-09-21,8,8,37.5,-2.56,False
2025-05-22,2025-09-21,2025-09-22,2025-10-21,7,7,14.29,-2.82,False
2026-01-22,2026-05-21,2026-05-22,2026-06-21,4,6,83.33,3.22,True
