train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,23,7,85.71,12.0,True
2024-02-29,2024-06-28,2024-06-29,2024-07-28,22,5,80.0,8.66,True
2024-03-29,2024-07-28,2024-07-29,2024-08-28,15,21,47.62,-0.31,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,24,14,50.0,0.65,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,17,13,69.23,0.98,True
2024-09-29,2025-01-28,2025-01-29,2025-02-27,28,10,90.0,2.89,True
2024-12-29,2025-04-28,2025-04-29,2025-05-28,24,14,50.0,1.16,True
2025-01-29,2025-05-28,2025-05-29,2025-06-28,25,14,50.0,4.69,True
2025-02-28,2025-06-27,2025-06-28,2025-07-27,29,5,80.0,2.07,True
2025-03-28,2025-07-27,2025-07-28,2025-08-27,33,5,20.0,-2.25,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,12,13,23.08,-0.97,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,20,9,66.67,2.19,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,25,9,88.89,19.38,True
