train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-06-28,2024-06-29,2024-07-28,5,6,66.67,0.69,True
2024-05-29,2024-09-28,2024-09-29,2024-10-28,14,7,85.71,3.93,True
2024-06-29,2024-10-28,2024-10-29,2024-11-28,20,6,16.67,-4.67,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,20,13,53.85,0.15,True
2024-09-29,2025-01-28,2025-01-29,2025-02-27,30,7,42.86,0.33,True
2024-10-29,2025-02-27,2025-02-28,2025-03-27,30,5,20.0,-2.24,False
2025-01-29,2025-05-28,2025-05-29,2025-06-28,13,10,70.0,0.72,True
2025-05-28,2025-09-27,2025-09-28,2025-10-27,18,8,75.0,4.16,True
2025-07-28,2025-11-27,2025-11-28,2025-12-27,15,8,75.0,4.66,True
2025-10-28,2026-02-27,2026-02-28,2026-03-27,10,5,100.0,15.63,True
