train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-05-17,2024-05-18,2024-06-17,21,12,58.33,7.96,True
2024-02-18,2024-06-17,2024-06-18,2024-07-17,14,6,66.67,0.01,True
2024-07-18,2024-11-17,2024-11-18,2024-12-17,8,8,100.0,7.17,True
2024-08-18,2024-12-17,2024-12-18,2025-01-17,8,7,85.71,4.95,True
2025-02-18,2025-06-17,2025-06-18,2025-07-17,7,5,100.0,2.29,True
2025-03-18,2025-07-17,2025-07-18,2025-08-17,12,6,33.33,-4.39,False
2025-06-18,2025-10-17,2025-10-18,2025-11-17,8,5,60.0,0.6,True
2025-09-18,2026-01-17,2026-01-18,2026-02-17,6,9,55.56,2.52,True
2025-10-18,2026-02-17,2026-02-18,2026-03-17,6,7,42.86,-1.31,False
2025-11-18,2026-03-17,2026-03-18,2026-04-17,8,8,62.5,2.75,True
2025-12-18,2026-04-17,2026-04-18,2026-05-17,5,11,72.73,1.41,True
