train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-08,2024-06-07,2024-06-08,2024-07-07,6,6,50.0,2.74,True
2024-03-08,2024-07-07,2024-07-08,2024-08-07,7,5,40.0,-0.34,False
2024-04-08,2024-08-07,2024-08-08,2024-09-07,6,6,33.33,0.25,True
2024-07-08,2024-11-07,2024-11-08,2024-12-07,11,5,80.0,0.68,True
2024-10-08,2025-02-07,2025-02-08,2025-03-07,5,5,60.0,1.12,True
2025-02-08,2025-06-07,2025-06-08,2025-07-07,5,8,50.0,5.27,True
2025-04-08,2025-08-07,2025-08-08,2025-09-07,6,8,25.0,-2.76,False
2025-06-08,2025-10-07,2025-10-08,2025-11-07,3,12,58.33,-0.19,False
2025-07-08,2025-11-07,2025-11-08,2025-12-07,24,9,22.22,-0.7,False
2025-08-08,2025-12-07,2025-12-08,2026-01-07,29,13,84.62,4.3,True
2026-01-08,2026-05-07,2026-05-08,2026-06-07,3,6,33.33,0.11,True
