train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-02,2024-07-01,2024-07-02,2024-08-01,6,11,36.36,-3.77,False
2024-08-02,2024-12-01,2024-12-02,2025-01-01,10,8,0.0,-1.97,False
2024-09-02,2025-01-01,2025-01-02,2025-02-01,8,7,28.57,-1.12,False
2024-11-02,2025-03-01,2025-03-02,2025-04-01,7,10,60.0,1.19,True
2024-12-02,2025-04-01,2025-04-02,2025-05-01,9,7,57.14,1.52,True
2025-02-02,2025-06-01,2025-06-02,2025-07-01,6,12,33.33,0.15,True
2025-05-02,2025-09-01,2025-09-02,2025-10-01,20,6,0.0,-5.48,False
2025-06-02,2025-10-01,2025-10-02,2025-11-01,25,6,66.67,1.16,True
2025-07-02,2025-11-01,2025-11-02,2025-12-01,19,15,53.33,1.1,True
2025-08-02,2025-12-01,2025-12-02,2026-01-01,3,5,20.0,-0.18,False
2026-01-02,2026-05-01,2026-05-02,2026-06-01,7,11,54.55,0.49,True
