train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-06-01,2024-06-02,2024-07-01,18,8,0.0,-2.67,False
2024-04-02,2024-08-01,2024-08-02,2024-09-01,20,6,33.33,-0.78,False
2024-08-02,2024-12-01,2024-12-02,2025-01-01,14,17,41.18,-0.97,False
2024-09-02,2025-01-01,2025-01-02,2025-02-01,25,6,66.67,-0.38,False
2024-10-02,2025-02-01,2025-02-02,2025-03-01,27,5,40.0,0.12,True
2025-01-02,2025-05-01,2025-05-02,2025-06-01,9,5,100.0,3.76,True
2025-02-02,2025-06-01,2025-06-02,2025-07-01,8,7,57.14,4.04,True
2025-03-02,2025-07-01,2025-07-02,2025-08-01,13,7,85.71,1.58,True
2025-05-02,2025-09-01,2025-09-02,2025-10-01,22,10,50.0,-0.52,False
2025-06-02,2025-10-01,2025-10-02,2025-11-01,27,5,40.0,-2.56,False
2025-08-02,2025-12-01,2025-12-02,2026-01-01,15,5,40.0,-0.54,False
