train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-02-21,2024-02-22,2024-03-21,11,14,64.29,0.84,True
2024-01-22,2024-03-21,2024-03-22,2024-04-21,22,4,100.0,6.84,True
2024-03-22,2024-05-21,2024-05-22,2024-06-21,4,3,0.0,-3.59,False
2024-04-22,2024-06-21,2024-06-22,2024-07-21,3,10,0.0,-2.44,False
2024-05-22,2024-07-21,2024-07-22,2024-08-21,5,3,0.0,-0.56,False
2024-06-22,2024-08-21,2024-08-22,2024-09-21,3,10,40.0,-0.11,False
2024-07-22,2024-09-21,2024-09-22,2024-10-21,13,11,36.36,-1.62,False
2024-09-22,2024-11-21,2024-11-22,2024-12-21,12,8,25.0,-0.65,False
2024-10-22,2024-12-21,2024-12-22,2025-01-21,9,8,12.5,-2.5,False
2024-11-22,2025-01-21,2025-01-22,2025-02-21,16,7,100.0,1.59,True
2025-02-22,2025-04-21,2025-04-22,2025-05-21,1,4,25.0,-1.3,False
2025-03-22,2025-05-21,2025-05-22,2025-06-21,4,5,100.0,13.26,True
2025-04-22,2025-06-21,2025-06-22,2025-07-21,4,7,85.71,1.03,True
2025-05-22,2025-07-21,2025-07-22,2025-08-21,12,6,66.67,1.98,True
2025-06-22,2025-08-21,2025-08-22,2025-09-21,6,6,0.0,-2.9,False
2025-08-22,2025-10-21,2025-10-22,2025-11-21,7,3,100.0,3.31,True
2025-09-22,2025-11-21,2025-11-22,2025-12-21,3,5,40.0,-1.14,False
2025-10-22,2025-12-21,2025-12-22,2026-01-21,8,3,100.0,4.79,True
2025-11-22,2026-01-21,2026-01-22,2026-02-21,8,3,66.67,13.06,True
2025-12-22,2026-02-21,2026-02-22,2026-03-21,6,4,100.0,11.14,True
2026-02-22,2026-04-21,2026-04-22,2026-05-21,4,3,66.67,0.67,True
