train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,5,12,50.0,0.04,True
2024-01-20,2024-03-19,2024-03-20,2024-04-19,20,14,50.0,-0.46,False
2024-02-20,2024-04-19,2024-04-20,2024-05-19,26,5,20.0,0.31,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,3,18,44.44,-0.21,False
2024-04-20,2024-06-19,2024-06-20,2024-07-19,3,3,0.0,-0.67,False
2024-06-20,2024-08-19,2024-08-20,2024-09-19,3,14,50.0,-0.28,False
2024-07-20,2024-09-19,2024-09-20,2024-10-19,14,13,61.54,0.5,True
2024-08-20,2024-10-19,2024-10-20,2024-11-19,27,3,33.33,0.14,True
2024-09-20,2024-11-19,2024-11-20,2024-12-19,4,15,60.0,0.52,True
2024-10-20,2024-12-19,2024-12-20,2025-01-19,5,19,31.58,-0.03,False
2024-11-20,2025-01-19,2025-01-20,2025-02-19,4,4,50.0,0.15,True
2024-12-20,2025-02-19,2025-02-20,2025-03-19,6,4,0.0,-0.35,False
2025-01-20,2025-03-19,2025-03-20,2025-04-19,6,4,25.0,-1.85,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,3,12,91.67,0.98,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,16,8,75.0,0.53,True
2025-04-20,2025-06-19,2025-06-20,2025-07-19,20,8,100.0,1.11,True
2025-05-20,2025-07-19,2025-07-20,2025-08-19,3,4,50.0,0.05,True
2025-06-20,2025-08-19,2025-08-20,2025-09-19,5,7,14.29,-0.53,False
2025-07-20,2025-09-19,2025-09-20,2025-10-19,5,14,35.71,-0.21,False
2025-09-20,2025-11-19,2025-11-20,2025-12-19,14,13,61.54,0.56,True
2025-10-20,2025-12-19,2025-12-20,2026-01-19,13,4,100.0,3.5,True
2025-11-20,2026-01-19,2026-01-20,2026-02-19,17,4,100.0,2.51,True
2025-12-20,2026-02-19,2026-02-20,2026-03-19,3,4,0.0,-3.27,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,3,10,20.0,-1.42,False
