train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-05,2024-05-04,2024-05-05,2024-06-04,3,8,25.0,-2.06,False
2024-04-05,2024-08-04,2024-08-05,2024-09-04,16,8,0.0,-4.82,False
2024-05-05,2024-09-04,2024-09-05,2024-10-04,20,7,28.57,-2.95,False
2024-06-05,2024-10-04,2024-10-05,2024-11-04,19,5,0.0,-2.04,False
2024-08-05,2024-12-04,2024-12-05,2025-01-04,20,6,0.0,-2.34,False
2024-10-05,2025-02-04,2025-02-05,2025-03-04,14,9,55.56,0.62,True
2024-11-05,2025-03-04,2025-03-05,2025-04-04,18,19,47.37,-0.86,False
2025-01-05,2025-05-04,2025-05-05,2025-06-04,33,20,80.0,1.76,True
2025-02-05,2025-06-04,2025-06-05,2025-07-04,4,7,28.57,0.31,True
2025-06-05,2025-10-04,2025-10-05,2025-11-04,14,9,44.44,-4.64,False
2025-11-05,2026-03-04,2026-03-05,2026-04-04,4,6,50.0,-1.63,False
