train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-05-11,2024-09-10,2024-09-11,2024-10-10,12,6,0.0,-2.59,False
2024-06-11,2024-10-10,2024-10-11,2024-11-10,14,8,37.5,-2.27,False
2024-07-11,2024-11-10,2024-11-11,2024-12-10,13,6,0.0,-3.22,False
2024-08-11,2024-12-10,2024-12-11,2025-01-10,15,11,45.45,-0.06,False
2024-10-11,2025-02-10,2025-02-11,2025-03-10,12,6,100.0,6.11,True
2024-12-11,2025-04-10,2025-04-11,2025-05-10,12,6,0.0,-1.49,False
2025-03-11,2025-07-10,2025-07-11,2025-08-10,16,5,60.0,2.86,True
2025-06-11,2025-10-10,2025-10-11,2025-11-10,4,11,45.45,1.3,True
2025-08-11,2025-12-10,2025-12-11,2026-01-10,14,6,66.67,2.89,True
2025-11-11,2026-03-10,2026-03-11,2026-04-10,10,7,85.71,6.16,True
2025-12-11,2026-04-10,2026-04-11,2026-05-10,7,6,83.33,1.82,True
