train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-04-28,2024-04-29,2024-05-28,20,7,71.43,0.63,True
2024-01-29,2024-05-28,2024-05-29,2024-06-28,22,9,77.78,2.02,True
2024-02-29,2024-06-28,2024-06-29,2024-07-28,28,6,33.33,0.61,True
2024-03-29,2024-07-28,2024-07-29,2024-08-28,29,6,100.0,2.88,True
2024-04-29,2024-08-28,2024-08-29,2024-09-28,23,9,66.67,-2.89,False
2024-05-29,2024-09-28,2024-09-29,2024-10-28,18,5,40.0,0.12,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,11,5,100.0,2.51,True
2024-11-29,2025-03-28,2025-03-29,2025-04-28,7,6,16.67,-0.34,False
2025-01-29,2025-05-28,2025-05-29,2025-06-28,9,12,41.67,-0.16,False
2025-05-28,2025-09-27,2025-09-28,2025-10-27,15,10,20.0,-0.93,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,13,12,41.67,-1.37,False
2025-09-28,2026-01-27,2026-01-28,2026-02-27,23,9,22.22,-0.94,False
2025-10-28,2026-02-27,2026-02-28,2026-03-27,22,9,77.78,0.68,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,19,7,28.57,-0.34,False
