train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-07,2024-07-06,2024-07-07,2024-08-06,11,5,0.0,-10.29,False
2024-08-07,2024-12-06,2024-12-07,2025-01-06,4,6,0.0,-4.08,False
2024-10-07,2025-02-06,2025-02-07,2025-03-06,10,5,100.0,3.16,True
2024-11-07,2025-03-06,2025-03-07,2025-04-06,6,7,14.29,-2.47,False
2025-01-07,2025-05-06,2025-05-07,2025-06-06,12,6,33.33,-0.94,False
2025-02-07,2025-06-06,2025-06-07,2025-07-06,18,7,71.43,2.5,True
2025-03-07,2025-07-06,2025-07-07,2025-08-06,20,7,100.0,3.3,True
2025-04-07,2025-08-06,2025-08-07,2025-09-06,14,5,80.0,4.19,True
2025-05-07,2025-09-06,2025-09-07,2025-10-06,14,6,33.33,-2.13,False
2025-06-07,2025-10-06,2025-10-07,2025-11-06,10,5,0.0,-5.21,False
2025-09-07,2026-01-06,2026-01-07,2026-02-06,14,11,36.36,-0.84,False
