train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-15,2024-08-14,2024-08-15,2024-09-14,14,5,0.0,-3.08,False
2024-05-15,2024-09-14,2024-09-15,2024-10-14,17,6,33.33,-0.81,False
2024-06-15,2024-10-14,2024-10-15,2024-11-14,11,5,60.0,-0.38,False
2024-07-15,2024-11-14,2024-11-15,2024-12-14,11,7,100.0,1.8,True
2024-08-15,2024-12-14,2024-12-15,2025-01-14,18,7,100.0,4.37,True
2024-09-15,2025-01-14,2025-01-15,2025-02-14,20,6,100.0,2.94,True
2024-11-15,2025-03-14,2025-03-15,2025-04-14,24,7,0.0,-4.58,False
2025-01-15,2025-05-14,2025-05-15,2025-06-14,14,12,33.33,-1.04,False
2025-02-15,2025-06-14,2025-06-15,2025-07-14,9,6,66.67,1.7,True
2025-05-15,2025-09-14,2025-09-15,2025-10-14,14,6,0.0,-6.7,False
2025-06-15,2025-10-14,2025-10-15,2025-11-14,15,5,60.0,1.49,True
2025-07-15,2025-11-14,2025-11-15,2025-12-14,11,6,0.0,-2.59,False
2025-08-15,2025-12-14,2025-12-15,2026-01-14,14,5,100.0,10.1,True
2025-09-15,2026-01-14,2026-01-15,2026-02-14,11,6,100.0,15.14,True
2025-11-15,2026-03-14,2026-03-15,2026-04-14,17,5,20.0,-2.04,False
2026-01-15,2026-05-14,2026-05-15,2026-06-14,18,6,0.0,-1.43,False
2026-02-15,2026-06-14,2026-06-15,2026-07-14,18,5,20.0,-0.58,False
