train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-05-21,2024-05-22,2024-06-21,6,6,83.33,1.85,True
2024-03-22,2024-07-21,2024-07-22,2024-08-21,8,6,66.67,1.28,True
2024-11-22,2025-03-21,2025-03-22,2025-04-21,8,5,0.0,-15.0,False
2025-03-22,2025-07-21,2025-07-22,2025-08-21,3,5,80.0,3.73,True
2025-04-22,2025-08-21,2025-08-22,2025-09-21,4,6,100.0,2.98,True
2025-05-22,2025-09-21,2025-09-22,2025-10-21,4,6,50.0,-0.98,False
2025-07-22,2025-11-21,2025-11-22,2025-12-21,7,8,12.5,-1.45,False
2025-08-22,2025-12-21,2025-12-22,2026-01-21,14,5,80.0,3.25,True
2025-10-22,2026-02-21,2026-02-22,2026-03-21,9,5,40.0,-3.57,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,10,5,100.0,4.72,True
2025-12-22,2026-04-21,2026-04-22,2026-05-21,3,5,60.0,-0.3,False
2026-01-22,2026-05-21,2026-05-22,2026-06-21,7,8,0.0,-2.08,False
