train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-08,2024-07-07,2024-07-08,2024-08-07,7,5,0.0,-1.3,False
2024-05-08,2024-09-07,2024-09-08,2024-10-07,7,5,20.0,-1.55,False
2024-06-08,2024-10-07,2024-10-08,2024-11-07,12,9,33.33,-0.67,False
2024-07-08,2024-11-07,2024-11-08,2024-12-07,11,13,38.46,-1.65,False
2024-10-08,2025-02-07,2025-02-08,2025-03-07,4,5,100.0,3.46,True
2025-02-08,2025-06-07,2025-06-08,2025-07-07,3,11,63.64,2.88,True
2025-05-08,2025-09-07,2025-09-08,2025-10-07,9,5,80.0,0.61,True
2025-10-08,2026-02-07,2026-02-08,2026-03-07,9,6,0.0,-12.23,False
2025-11-08,2026-03-07,2026-03-08,2026-04-07,6,5,100.0,8.08,True
2026-01-08,2026-05-07,2026-05-08,2026-06-07,6,6,50.0,-0.31,False
