train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-05-07,2024-05-08,2024-06-07,17,5,100.0,2.78,True
2024-03-08,2024-07-07,2024-07-08,2024-08-07,18,9,44.44,-0.15,False
2024-04-08,2024-08-07,2024-08-08,2024-09-07,23,6,100.0,2.76,True
2024-06-08,2024-10-07,2024-10-08,2024-11-07,16,7,0.0,-2.18,False
2024-07-08,2024-11-07,2024-11-08,2024-12-07,22,6,50.0,1.14,True
2024-11-08,2025-03-07,2025-03-08,2025-04-07,6,6,0.0,-5.18,False
2024-12-08,2025-04-07,2025-04-08,2025-05-07,6,10,40.0,0.16,True
2025-01-08,2025-05-07,2025-05-08,2025-06-07,16,6,33.33,0.57,True
2025-02-08,2025-06-07,2025-06-08,2025-07-07,18,5,60.0,1.13,True
2025-05-08,2025-09-07,2025-09-08,2025-10-07,7,8,25.0,-2.06,False
2025-06-08,2025-10-07,2025-10-08,2025-11-07,13,9,11.11,-1.01,False
2025-07-08,2025-11-07,2025-11-08,2025-12-07,17,6,50.0,0.42,True
2025-08-08,2025-12-07,2025-12-08,2026-01-07,23,10,50.0,-0.5,False
2025-09-08,2026-01-07,2026-01-08,2026-02-07,33,6,33.33,-2.24,False
2025-10-08,2026-02-07,2026-02-08,2026-03-07,31,10,40.0,-1.83,False
2025-11-08,2026-03-07,2026-03-08,2026-04-07,24,6,83.33,3.01,True
2026-01-08,2026-05-07,2026-05-08,2026-06-07,17,9,44.44,-0.13,False
