train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-03-21,2024-03-22,2024-04-21,3,4,0.0,-8.06,False
2024-02-22,2024-04-21,2024-04-22,2024-05-21,6,6,66.67,2.49,True
2024-03-22,2024-05-21,2024-05-22,2024-06-21,10,10,40.0,-1.58,False
2024-04-22,2024-06-21,2024-06-22,2024-07-21,16,7,0.0,-7.79,False
2024-05-22,2024-07-21,2024-07-22,2024-08-21,17,4,100.0,7.65,True
2024-07-22,2024-09-21,2024-09-22,2024-10-21,5,5,40.0,-0.26,False
2024-09-22,2024-11-21,2024-11-22,2024-12-21,6,11,54.55,0.75,True
2024-10-22,2024-12-21,2024-12-22,2025-01-21,12,10,30.0,-1.53,False
2025-01-22,2025-03-21,2025-03-22,2025-04-21,2,10,20.0,-2.42,False
2025-02-22,2025-04-21,2025-04-22,2025-05-21,10,9,88.89,2.64,True
2025-03-22,2025-05-21,2025-05-22,2025-06-21,3,9,55.56,0.56,True
2025-04-22,2025-06-21,2025-06-22,2025-07-21,18,6,83.33,11.03,True
2025-06-22,2025-08-21,2025-08-22,2025-09-21,6,8,100.0,4.03,True
2025-07-22,2025-09-21,2025-09-22,2025-10-21,8,12,50.0,1.44,True
2025-09-22,2025-11-21,2025-11-22,2025-12-21,12,7,0.0,-4.45,False
2025-10-22,2025-12-21,2025-12-22,2026-01-21,7,10,20.0,-1.36,False
2025-11-22,2026-01-21,2026-01-22,2026-02-21,3,3,0.0,-4.34,False
2025-12-22,2026-02-21,2026-02-22,2026-03-21,13,5,0.0,-8.63,False
2026-01-22,2026-03-21,2026-03-22,2026-04-21,8,3,66.67,4.87,True
