train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-04-28,2024-04-29,2024-05-28,22,5,60.0,0.45,True
2024-01-29,2024-05-28,2024-05-29,2024-06-28,16,8,25.0,-3.06,False
2024-02-29,2024-06-28,2024-06-29,2024-07-28,22,10,0.0,-2.77,False
2024-04-29,2024-08-28,2024-08-29,2024-09-28,26,5,100.0,2.58,True
2024-05-29,2024-09-28,2024-09-29,2024-10-28,26,7,14.29,-1.59,False
2024-06-29,2024-10-28,2024-10-29,2024-11-28,25,10,20.0,-2.12,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,25,5,0.0,-2.58,False
2024-08-29,2024-12-28,2024-12-29,2025-01-28,27,5,60.0,2.79,True
2024-11-29,2025-03-28,2025-03-29,2025-04-28,10,5,0.0,-0.99,False
2024-12-29,2025-04-28,2025-04-29,2025-05-28,10,7,71.43,2.33,True
2025-01-29,2025-05-28,2025-05-29,2025-06-28,12,6,83.33,3.62,True
2025-05-28,2025-09-27,2025-09-28,2025-10-27,6,7,42.86,-1.25,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,6,7,14.29,-3.14,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,13,7,42.86,-1.02,False
2025-08-28,2025-12-27,2025-12-28,2026-01-27,18,9,22.22,-2.42,False
2025-09-28,2026-01-27,2026-01-28,2026-02-27,16,7,57.14,-0.16,False
2025-11-28,2026-03-27,2026-03-28,2026-04-27,11,6,100.0,5.25,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,10,6,50.0,1.03,True
