train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-27,2024-07-26,2024-07-27,2024-08-26,6,5,60.0,-2.83,False
2024-04-27,2024-08-26,2024-08-27,2024-09-26,5,7,28.57,-0.69,False
2024-05-27,2024-09-26,2024-09-27,2024-10-26,11,7,0.0,-6.28,False
2024-08-27,2024-12-26,2024-12-27,2025-01-26,17,7,42.86,-1.2,False
2024-10-27,2025-02-26,2025-02-27,2025-03-26,10,6,16.67,-3.02,False
2025-04-27,2025-08-26,2025-08-27,2025-09-26,6,6,16.67,-0.73,False
2025-05-27,2025-09-26,2025-09-27,2025-10-26,6,13,38.46,-0.66,False
2025-07-27,2025-11-26,2025-11-27,2025-12-26,22,8,75.0,0.71,True
2025-11-27,2026-03-26,2026-03-27,2026-04-26,3,7,85.71,2.24,True
2025-12-27,2026-04-26,2026-04-27,2026-05-26,13,5,60.0,1.7,True
