train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-02-21,2024-02-22,2024-03-21,10,3,0.0,-3.74,False
2024-01-22,2024-03-21,2024-03-22,2024-04-21,8,5,20.0,-0.75,False
2024-02-22,2024-04-21,2024-04-22,2024-05-21,8,4,75.0,1.92,True
2024-03-22,2024-05-21,2024-05-22,2024-06-21,9,8,50.0,-0.2,False
2024-04-22,2024-06-21,2024-06-22,2024-07-21,12,7,28.57,-0.71,False
2024-05-22,2024-07-21,2024-07-22,2024-08-21,15,5,60.0,-0.66,False
2024-06-22,2024-08-21,2024-08-22,2024-09-21,7,8,50.0,0.44,True
2024-07-22,2024-09-21,2024-09-22,2024-10-21,13,4,50.0,1.15,True
2024-08-22,2024-10-21,2024-10-22,2024-11-21,3,5,40.0,-0.63,False
2024-09-22,2024-11-21,2024-11-22,2024-12-21,9,3,0.0,-1.65,False
2024-10-22,2024-12-21,2024-12-22,2025-01-21,3,3,33.33,-1.12,False
2024-11-22,2025-01-21,2025-01-22,2025-02-21,3,12,75.0,0.92,True
2024-12-22,2025-02-21,2025-02-22,2025-03-21,12,12,33.33,-0.14,False
2025-01-22,2025-03-21,2025-03-22,2025-04-21,24,6,0.0,-5.57,False
2025-02-22,2025-04-21,2025-04-22,2025-05-21,13,4,100.0,8.63,True
2025-03-22,2025-05-21,2025-05-22,2025-06-21,3,4,50.0,0.14,True
2025-04-22,2025-06-21,2025-06-22,2025-07-21,6,6,83.33,2.75,True
2025-06-22,2025-08-21,2025-08-22,2025-09-21,6,4,25.0,-4.65,False
2025-07-22,2025-09-21,2025-09-22,2025-10-21,4,6,33.33,-1.68,False
2025-09-22,2025-11-21,2025-11-22,2025-12-21,7,7,57.14,-1.04,False
2025-10-22,2025-12-21,2025-12-22,2026-01-21,8,6,16.67,-2.33,False
2025-11-22,2026-01-21,2026-01-22,2026-02-21,13,4,50.0,-0.62,False
2025-12-22,2026-02-21,2026-02-22,2026-03-21,8,6,0.0,-6.66,False
2026-01-22,2026-03-21,2026-03-22,2026-04-21,8,12,58.33,0.75,True
2026-02-22,2026-04-21,2026-04-22,2026-05-21,18,5,40.0,0.07,True
