train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-18,2024-06-17,2024-06-18,2024-07-17,30,6,16.67,-2.54,False
2024-03-18,2024-07-17,2024-07-18,2024-08-17,23,6,66.67,0.7,True
2024-04-18,2024-08-17,2024-08-18,2024-09-17,14,8,0.0,-3.0,False
2024-06-18,2024-10-17,2024-10-18,2024-11-17,10,11,45.45,2.33,True
2024-07-18,2024-11-17,2024-11-18,2024-12-17,6,9,88.89,3.25,True
2024-08-18,2024-12-17,2024-12-18,2025-01-17,13,6,16.67,-2.54,False
2024-09-18,2025-01-17,2025-01-18,2025-02-17,17,6,100.0,6.57,True
2025-01-18,2025-05-17,2025-05-18,2025-06-17,9,7,28.57,-1.0,False
2025-03-18,2025-07-17,2025-07-18,2025-08-17,14,12,25.0,-1.73,False
2025-05-18,2025-09-17,2025-09-18,2025-10-17,15,9,33.33,-0.42,False
2025-06-18,2025-10-17,2025-10-18,2025-11-17,10,9,44.44,-0.22,False
2025-09-18,2026-01-17,2026-01-18,2026-02-17,13,6,66.67,2.04,True
2025-10-18,2026-02-17,2026-02-18,2026-03-17,17,6,66.67,5.68,True
2025-12-18,2026-04-17,2026-04-18,2026-05-17,17,12,58.33,0.33,True
