Mã,Chiến lược,Trạng thái,Tổng số mẫu,Chi phí giả lập %,Lợi nhuận TB T+5 gốc %,Lợi nhuận TB T+5 sau phí %,Winrate T+5 sau phí %,Lợi nhuận TB delay-entry sau phí %,Winrate delay-entry sau phí %,Regime hiện tại,Regime gộp tốt nhất,Số mẫu regime tốt nhất,Lợi nhuận TB regime tốt nhất sau phí %,Winrate regime tốt nhất sau phí %,Số regime gộp có lợi nhuận dương,Kết luận V15.3,Điểm regime-aware gốc,Hệ số regime,Điểm V15.3 cuối cùng,Phương pháp match,Ngày hiện tại,Giá hiện tại,RSI hiện tại,Ret5 hiện tại %,Dist MA20 hiện tại %,Drawdown20 hiện tại %,Chi tiết theo regime gộp
VHM,BOTTOM,OK,80,0.8,2.34,1.54,55.0,0.94,55.0,SIDEWAY,RISK OFF,13,4.27,76.9,2,REGIME FIT MẠNH,100,1.15,100,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,156.0,45.7,1.43,0.11,-9.98,"RISK OFF: n=13, TB sau phí=4.27%, Win=76.9% | SIDEWAY: n=24, TB sau phí=3.13%, Win=54.2% | RISK ON: n=43, TB sau phí=-0.17%, Win=48.8%"
VOS,BOTTOM,OK,80,0.8,1.57,0.77,43.8,0.47,42.5,SIDEWAY,SIDEWAY,17,2.95,64.7,3,REGIME FIT MẠNH,100,1.15,100,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,12.5,53.85,0.4,-0.64,-6.02,"SIDEWAY: n=17, TB sau phí=2.95%, Win=64.7% | RISK OFF: n=13, TB sau phí=0.75%, Win=61.5% | RISK ON: n=50, TB sau phí=0.04%, Win=32.0%"
GVR,BOTTOM,OK,80,0.8,1.51,0.71,41.2,0.6,46.2,SIDEWAY,SIDEWAY,23,1.56,60.9,2,REGIME FIT MẠNH,100,1.15,100,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,34.9,50.5,-1.13,-2.9,-12.75,"SIDEWAY: n=23, TB sau phí=1.56%, Win=60.9% | RISK ON: n=45, TB sau phí=0.95%, Win=35.6% | RISK OFF: n=12, TB sau phí=-1.83%, Win=25.0%"
VIX,BOTTOM,OK,80,0.8,0.87,0.07,55.0,-0.13,50.0,SIDEWAY,RISK OFF,33,1.12,54.5,2,REGIME FIT MẠNH,100,1.15,100,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,17.7,28.0,-4.58,-3.69,-10.83,"RISK OFF: n=33, TB sau phí=1.12%, Win=54.5% | RISK ON: n=19, TB sau phí=0.04%, Win=52.6% | SIDEWAY: n=28, TB sau phí=-1.14%, Win=57.1%"
CTR,MOMENTUM,OK,39,0.8,3.23,2.43,56.4,2.31,61.5,SIDEWAY,RISK ON,32,2.8,53.1,2,REGIME FIT MẠNH,100,0.8,90,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,88.5,64.62,-4.84,0.72,-7.23,"RISK ON: n=32, TB sau phí=2.80%, Win=53.1% | RISK OFF: n=2, TB sau phí=1.59%, Win=100.0% | SIDEWAY: n=5, TB sau phí=0.40%, Win=60.0%"
ANV,MOMENTUM,OK,80,0.8,1.95,1.15,46.2,0.99,52.5,SIDEWAY,RISK ON,62,1.79,45.2,2,REGIME FIT MẠNH,100,0.8,85,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,21.7,17.02,-2.91,-4.71,-10.52,"RISK ON: n=62, TB sau phí=1.79%, Win=45.2% | SIDEWAY: n=14, TB sau phí=0.46%, Win=57.1% | RISK OFF: n=4, TB sau phí=-6.42%, Win=25.0%"
ABB,MOMENTUM,OK,80,0.8,0.93,0.13,41.2,0.14,40.0,SIDEWAY,RISK ON,68,0.25,44.1,1,REGIME FIT VỪA,80,0.8,69,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,15.6,75.0,1.96,2.13,-2.5,"RISK ON: n=68, TB sau phí=0.25%, Win=44.1% | SIDEWAY: n=9, TB sau phí=-0.37%, Win=33.3% | RISK OFF: n=3, TB sau phí=-1.02%, Win=0.0%"
PDR,MOMENTUM,OK,46,0.8,1.38,0.58,54.3,0.5,47.8,SIDEWAY,RISK ON,34,1.45,61.8,1,REGIME FIT VỪA,80,0.8,69,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,16.05,46.25,1.58,-2.34,-6.96,"RISK ON: n=34, TB sau phí=1.45%, Win=61.8% | SIDEWAY: n=12, TB sau phí=-1.88%, Win=33.3%"
CTR,BOTTOM,OK,80,0.8,1.09,0.29,42.5,0.07,40.0,SIDEWAY,RISK ON,46,1.03,43.5,1,CHỈ HỢP MỘT PHA,60,1.05,68,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,88.5,64.62,-4.84,0.72,-7.23,"RISK ON: n=46, TB sau phí=1.03%, Win=43.5% | SIDEWAY: n=21, TB sau phí=-0.49%, Win=42.9% | RISK OFF: n=13, TB sau phí=-1.07%, Win=38.5%"
TVS,MOMENTUM,OK,13,0.8,2.1,1.3,53.8,0.92,53.8,SIDEWAY,RISK ON,11,1.71,63.6,1,REGIME FIT VỪA,75,0.8,65,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,13.1,41.67,-0.76,-1.09,-4.38,"RISK ON: n=11, TB sau phí=1.71%, Win=63.6% | RISK OFF: n=2, TB sau phí=-0.91%, Win=0.0%"
BSR,BOTTOM,OK,80,0.8,2.05,1.25,41.2,1.38,42.5,SIDEWAY,RISK ON,43,1.7,39.5,2,CẦN THEO DÕI THÊM,25,1.05,31,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,29.75,56.99,0.17,2.73,-12.37,"RISK ON: n=43, TB sau phí=1.70%, Win=39.5% | SIDEWAY: n=28, TB sau phí=1.49%, Win=50.0% | RISK OFF: n=9, TB sau phí=-1.61%, Win=22.2%"
ABB,BOTTOM,OK,80,0.8,1.7,0.9,51.2,0.66,45.0,SIDEWAY,RISK ON,64,1.16,56.2,2,CẦN THEO DÕI THÊM,25,1.05,31,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,15.6,75.0,1.96,2.13,-2.5,"RISK ON: n=64, TB sau phí=1.16%, Win=56.2% | RISK OFF: n=4, TB sau phí=0.65%, Win=25.0% | SIDEWAY: n=12, TB sau phí=-0.45%, Win=33.3%"
DCM,MOMENTUM,OK,80,0.8,2.12,1.32,55.0,1.12,55.0,SIDEWAY,SIDEWAY,11,4.34,81.8,2,CẦN THEO DÕI THÊM,25,1.0,30,ĐIỀU KIỆN MOMENTUM NỚI LỎNG,2026-05-29 07:00:00,39.8,33.15,-4.33,-5.2,-12.81,"SIDEWAY: n=11, TB sau phí=4.34%, Win=81.8% | RISK ON: n=54, TB sau phí=1.60%, Win=53.7% | RISK OFF: n=15, TB sau phí=-1.91%, Win=40.0%"
PLX,MOMENTUM,OK,80,0.8,1.13,0.33,40.0,0.25,38.8,SIDEWAY,SIDEWAY,17,2.19,52.9,2,CẦN THEO DÕI THÊM,25,1.0,30,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,41.0,60.05,-2.26,1.89,-12.77,"SIDEWAY: n=17, TB sau phí=2.19%, Win=52.9% | RISK ON: n=49, TB sau phí=0.24%, Win=42.9% | RISK OFF: n=14, TB sau phí=-1.58%, Win=14.3%"
AGR,MOMENTUM,OK,16,0.8,2.85,2.05,75.0,1.82,68.8,SIDEWAY,SIDEWAY,4,2.94,75.0,2,CẦN THEO DÕI THÊM,20,1.0,30,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,14.45,42.86,-1.03,-0.99,-3.34,"SIDEWAY: n=4, TB sau phí=2.94%, Win=75.0% | RISK ON: n=12, TB sau phí=1.76%, Win=75.0%"
CTS,MOMENTUM,OK,46,0.8,1.57,0.77,63.0,0.49,58.7,SIDEWAY,RISK OFF,1,7.36,100.0,2,CẦN THEO DÕI THÊM,25,0.8,25,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,27.3,50.0,-3.02,-0.92,-5.86,"RISK OFF: n=1, TB sau phí=7.36%, Win=100.0% | SIDEWAY: n=3, TB sau phí=2.46%, Win=100.0% | RISK ON: n=42, TB sau phí=0.50%, Win=59.5%"
HDB,BOTTOM,OK,80,0.8,0.66,-0.14,52.5,-0.38,48.8,SIDEWAY,SIDEWAY,24,0.86,50.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,25.9,39.36,0.19,-3.11,-7.83,"SIDEWAY: n=24, TB sau phí=0.86%, Win=50.0% | RISK OFF: n=35, TB sau phí=-0.10%, Win=54.3% | RISK ON: n=21, TB sau phí=-1.33%, Win=52.4%"
PNJ,BOTTOM,OK,80,0.8,0.48,-0.32,48.8,-0.5,48.8,SIDEWAY,SIDEWAY,13,0.28,53.8,2,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,65.8,33.66,0.46,-1.84,-6.27,"SIDEWAY: n=13, TB sau phí=0.28%, Win=53.8% | RISK ON: n=48, TB sau phí=0.06%, Win=54.2% | RISK OFF: n=19, TB sau phí=-1.69%, Win=31.6%"
AGR,BOTTOM,OK,80,0.8,0.47,-0.33,40.0,-0.32,36.2,SIDEWAY,SIDEWAY,19,0.16,52.6,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,14.45,42.86,-1.03,-0.99,-3.34,"SIDEWAY: n=19, TB sau phí=0.16%, Win=52.6% | RISK OFF: n=13, TB sau phí=-0.27%, Win=46.2% | RISK ON: n=48, TB sau phí=-0.54%, Win=33.3%"
DHC,BOTTOM,OK,80,0.8,0.47,-0.33,40.0,-0.23,42.5,SIDEWAY,SIDEWAY,16,3.72,68.8,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,36.7,48.39,3.82,1.91,-2.13,"SIDEWAY: n=16, TB sau phí=3.72%, Win=68.8% | RISK ON: n=57, TB sau phí=-0.95%, Win=36.8% | RISK OFF: n=7, TB sau phí=-4.51%, Win=0.0%"
SCS,BOTTOM,OK,80,0.8,0.42,-0.38,36.2,-0.48,31.2,SIDEWAY,RISK OFF,30,0.19,46.7,2,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,51.1,37.5,-1.35,-1.64,-4.31,"RISK OFF: n=30, TB sau phí=0.19%, Win=46.7% | SIDEWAY: n=8, TB sau phí=0.08%, Win=50.0% | RISK ON: n=42, TB sau phí=-0.88%, Win=26.2%"
VPB,BOTTOM,OK,80,0.8,0.01,-0.79,40.0,-0.73,46.2,SIDEWAY,SIDEWAY,20,0.09,55.0,1,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,27.1,47.87,1.12,-0.74,-4.07,"SIDEWAY: n=20, TB sau phí=0.09%, Win=55.0% | RISK OFF: n=11, TB sau phí=-0.70%, Win=45.5% | RISK ON: n=49, TB sau phí=-1.16%, Win=32.7%"
IDC,BOTTOM,OK,80,0.8,-0.0,-0.8,38.8,-0.51,38.8,SIDEWAY,RISK OFF,17,3.19,64.7,2,KHÔNG ỔN ĐỊNH THEO REGIME,25,1.15,4,MATCH TƯƠNG ĐỒNG NỚI LỎNG,2026-05-29 07:00:00,43.4,41.67,-0.46,-1.54,-6.26,"RISK OFF: n=17, TB sau phí=3.19%, Win=64.7% | SIDEWAY: n=20, TB sau phí=1.15%, Win=65.0% | RISK ON: n=43, TB sau phí=-3.29%, Win=16.3%"
