Mã,Trạng thái dữ liệu,Ngày,Giá,RSI,Drawdown 20 phiên %,Hồi từ đáy 20 phiên %,Ret 5 phiên %,Ret 10 phiên %,Volume Ratio,Đã lấy lại MA5,Thủng đáy 20 phiên,Số mẫu bottom tương tự,Win T+3 %,Win T+5 %,Win T+10 %,Lợi TB T+3 %,Lợi TB T+5 %,Lợi TB T+10 %,Drawdown TB T+5 %,Điểm Bottom V15,Phân loại Bottom V15,Kết luận,Điểm mạnh,Điểm yếu,Số dòng lịch sử
PNJ,OK,2026-05-08,70.1,42.9,-9.0,4.78,4.16,-5.99,0.82,CÓ,KHÔNG,151,54.3,56.29,52.98,0.4,0.66,0.99,-2.05,97.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",RSI vùng bắt đáy 42.9 | Có chiết khấu -9.0% | Hồi từ đáy 4.8% | Đã lấy lại MA5 | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 0.82,,591
HAG,OK,2026-05-08,16.55,44.0,-3.22,5.41,1.53,1.22,0.94,CÓ,KHÔNG,101,42.57,44.55,47.52,-0.32,-0.75,-0.29,-4.22,68.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,RSI vùng bắt đáy 44.0 | Hồi từ đáy 5.4% | Đã lấy lại MA5 | Volume hồi hợp lý 0.94,Win T+5 yếu 44.6% | Lợi TB T+5 âm -0.75%,591
VCB,OK,2026-05-08,60.7,53.57,-4.41,3.23,1.51,1.85,1.18,CÓ,KHÔNG,190,43.16,45.26,50.0,0.13,0.31,0.57,-1.53,67.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,Hồi từ đáy 3.2% | Đã lấy lại MA5 | Volume hồi hợp lý 1.18,Nến đóng yếu gần đáy phiên,591
TCH,OK,2026-05-08,16.95,49.46,-8.38,3.35,-6.61,1.5,0.79,CHƯA,KHÔNG,103,57.28,57.28,56.31,0.77,1.72,2.61,-3.74,61.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,Có chiết khấu -8.4% | Hồi từ đáy 3.4% | Lợi TB T+5 tốt 1.72%,Chưa lấy lại MA5 | Nến đóng yếu gần đáy phiên,591
HHV,OK,2026-05-08,12.35,38.3,-8.18,2.92,-1.2,-1.98,1.47,CHƯA,KHÔNG,144,40.97,43.75,38.89,-0.32,-0.69,-1.41,-3.21,60.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,RSI vùng bắt đáy 38.3 | Có chiết khấu -8.2% | Hồi từ đáy 2.9% | Volume hồi hợp lý 1.47,Chưa lấy lại MA5 | Win T+5 yếu 43.8% | Lợi TB T+5 âm -0.69%,591
SAB,OK,2026-05-08,46.25,50.47,-6.38,3.93,-2.63,2.44,1.03,CHƯA,KHÔNG,182,49.45,49.45,46.7,0.32,0.36,0.1,-1.65,59.0,🔴 BULL TRAP,Có hồi nhưng rủi ro gãy lại còn cao.,Có chiết khấu -6.4% | Hồi từ đáy 3.9% | Volume hồi hợp lý 1.03,Chưa lấy lại MA5 | Nến đóng yếu gần đáy phiên,591
DIG,OK,2026-05-08,14.45,46.43,-4.62,4.33,-1.7,2.12,0.83,CHƯA,KHÔNG,129,48.06,42.64,41.86,-0.43,-0.99,-2.1,-3.88,54.0,🔴 BULL TRAP,Có hồi nhưng rủi ro gãy lại còn cao.,RSI vùng bắt đáy 46.4 | Hồi từ đáy 4.3% | Volume hồi hợp lý 0.83,Chưa lấy lại MA5 | Win T+5 yếu 42.6% | Lợi TB T+5 âm -0.99%,591
VIX,OK,2026-05-08,18.6,54.08,-1.33,14.11,11.38,9.09,2.04,CÓ,KHÔNG,41,41.46,46.34,39.02,-0.39,-1.39,-3.71,-4.7,47.0,🔴 BULL TRAP,Có hồi nhưng rủi ro gãy lại còn cao.,Đã lấy lại MA5 | Nến đóng gần cao nhất phiên,Chưa giảm đủ sâu | Hồi quá xa | Lợi TB T+5 âm -1.39%,591
KBC,OK,2026-05-08,33.6,52.68,-6.54,4.84,-0.88,-1.61,0.78,CHƯA,KHÔNG,134,55.22,52.99,52.24,0.17,-0.2,-1.01,-3.36,47.0,🔴 BULL TRAP,Có hồi nhưng rủi ro gãy lại còn cao.,Có chiết khấu -6.5% | Hồi từ đáy 4.8%,Chưa lấy lại MA5 | Nến đóng yếu gần đáy phiên | Lợi TB T+5 âm -0.20%,591
NTP,OK,2026-05-08,61.1,59.43,-1.61,20.04,4.44,-0.49,1.02,CÓ,KHÔNG,24,62.5,50.0,58.33,0.52,0.45,1.99,-5.4,42.0,⚫ DAO RƠI,"Giảm yếu, chưa có xác nhận hồi đáng tin.",Đã lấy lại MA5 | Volume hồi hợp lý 1.02,RSI không còn vùng đáy 59.4 | Chưa giảm đủ sâu | Hồi quá xa | Nến đóng yếu gần đáy phiên,591
AAA,OK,2026-05-08,7.19,53.15,-5.39,3.9,-1.64,1.99,0.75,CHƯA,KHÔNG,166,47.59,45.78,47.59,-0.04,-0.18,-0.37,-2.48,41.0,⚫ DAO RƠI,"Giảm yếu, chưa có xác nhận hồi đáng tin.",Hồi từ đáy 3.9%,Chưa lấy lại MA5 | Nến đóng yếu gần đáy phiên | Lợi TB T+5 âm -0.18%,591
