Mã,Sector,Điểm V15.3,Meta Allocation %,V16 Action,Legacy Decision,Legacy Score,Legacy Group,Base Decision từ V16,Merged Decision,Final Decision,Nhóm realtime,Ưu tiên,Decision Mode,Meta Exposure,V15.5 Survival Exposure,Market Regime,Regime Strength,Equity State,Volatility Cluster,Correlation Heat,Kill Switch,Drawdown %,Buy zone thấp %,Buy zone cao %,Stoploss tham khảo %,Ghi chú merge,Ghi chú risk gate
TPB,OTHER,50.0,6.924,PHÂN BỔ VỪA,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,VỪA,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.3,1.2,-4.5,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
ABB,OTHER,50.0,6.707,PHÂN BỔ VỪA,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,VỪA,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.3,1.2,-4.5,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
BID,BANK,50.0,5.904,PHÂN BỔ VỪA,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,VỪA,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.3,1.2,-4.5,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
BVB,OTHER,50.0,5.328,PHÂN BỔ VỪA,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,VỪA,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.3,1.2,-4.5,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
GMD,OTHER,50.0,4.238,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
DHC,OTHER,50.0,4.137,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
ORS,OTHER,50.0,3.411,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
HBC,OTHER,50.0,2.846,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
PET,OTHER,50.0,2.411,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
POW,OTHER,50.0,2.094,PHÂN BỔ NHỎ,NO_LEGACY,0.0,NO_LEGACY,WATCHLIST,WATCHLIST,WATCHLIST,THEO DÕI,THẤP,ĐÁNH NHỎ,0.44,0.55,SIDEWAY,SIDEWAY TRUNG TÍNH,ỔN ĐỊNH TĂNG,BIẾN ĐỘNG TRUNG BÌNH,CAO,False,0.0,-1.5,1.5,-5.0,"Không có tín hiệu rõ từ V17 cũ, dùng V16",ĐÁNH NHỎ có kiểm soát
